62;0.98;0;0.01;63.27;0.00;0.65;62;0
3200;19.98;1;0.08;160.16;0.05;13.01;3200;0
0;59.98;0;-nan;0.00;0.00;0.00;0;0
6;0.66;0;0.00;9.09;0.00;0.00;6;0
711;19.96;0;0.03;35.62;0.00;0.98;711;0
0;59.95;0;-nan;0.00;0.00;0.00;0;0
96;0.99;0;0.01;96.97;0.00;0.64;96;0
7168;19.99;2;0.08;358.58;0.10;30.14;7168;0
0;59.99;0;-nan;0.00;0.00;0.00;0;0
225;0.98;0;0.01;229.59;0.00;2.53;225;0
1756;19.99;0;0.75;87.84;0.00;66.05;1756;0
0;59.98;0;-nan;0.00;0.00;0.00;0;0
107;0.98;0;0.00;109.18;0.00;0.33;107;0
3713;19.98;1;0.01;185.84;0.05;2.05;3713;0
0;59.98;0;-nan;0.00;0.00;0.00;0;100
11;0.94;0;0.00;11.70;0.00;0.00;11;0
743;19.96;0;0.00;37.22;0.00;0.02;743;0
0;59.95;0;-nan;0.00;0.00;0.00;0;20
193;0.99;0;0.00;194.95;0.00;0.87;193;0
9534;20.00;3;0.02;476.70;0.15;10.18;9534;0
0;59.99;0;-nan;0.00;0.00;0.00;0;63
585;0.99;0;0.01;590.91;0.00;6.58;585;0
17836;19.98;7;0.06;892.69;0.35;52.40;17836;0
0;59.98;0;-nan;0.00;0.00;0.00;0;0
106;0.98;0;0.00;108.16;0.00;0.03;106;0
3753;19.98;1;0.00;187.84;0.05;0.09;3753;0
11538;59.98;4;0.01;192.36;0.07;1.67;11538;0
15;0.95;0;0.00;15.79;0.00;0.01;15;0
753;19.96;0;0.00;37.73;0.00;0.01;753;0
2455;59.96;0;0.00;40.94;0.00;0.01;2455;0
226;0.99;0;0.00;228.28;0.00;0.51;226;0
8932;19.99;3;0.00;446.82;0.15;1.12;8932;0
30345;59.99;12;0.00;505.83;0.20;1.17;30345;0
444;0.98;0;0.00;453.06;0.00;0.73;444;0
23739;19.98;9;0.02;1188.14;0.45;21.17;23739;0
70633;59.98;28;0.01;1177.61;0.47;7.83;70633;240
131;0.98;0;0.01;133.67;0.00;0.67;131;0
3877;19.98;1;0.01;194.04;0.05;2.13;3877;0
11668;59.98;4;0.00;194.53;0.07;0.70;11668;0
22;0.94;0;0.00;23.40;0.00;0.00;22;0
794;19.96;0;0.00;39.78;0.00;0.02;794;0
2373;59.96;0;0.00;39.58;0.00;0.01;2373;0
159;0.99;0;0.00;160.61;0.00;0.78;159;0
9797;19.99;3;0.01;490.10;0.15;5.92;9797;0
30022;59.99;11;0.01;500.45;0.18;2.91;30022;0
360;0.98;0;0.01;367.35;0.00;2.31;360;0
28253;19.99;11;0.02;1413.36;0.55;27.82;28253;0
87808;59.99;34;0.01;1463.71;0.57;15.68;87808;0
